                        List of relations
 Schema |                 Name                 | Type  |  Owner   
--------+--------------------------------------+-------+----------
 public | activity_event                       | table | barberia
 public | agent_background_job                 | table | barberia
 public | agent_channel_status                 | table | barberia
 public | agent_chat_attachments               | table | barberia
 public | agent_chat_subscriptions             | table | barberia
 public | agent_checkpoints                    | table | barberia
 public | agent_credential_dependency          | table | barberia
 public | agent_eval_dataset                   | table | barberia
 public | agent_eval_rating                    | table | barberia
 public | agent_eval_result                    | table | barberia
 public | agent_eval_run                       | table | barberia
 public | agent_execution                      | table | barberia
 public | agent_execution_threads              | table | barberia
 public | agent_files                          | table | barberia
 public | agent_history                        | table | barberia
 public | agent_task_definition                | table | barberia
 public | agent_task_run_lock                  | table | barberia
 public | agent_task_snapshot                  | table | barberia
 public | agent_workflow_dependency            | table | barberia
 public | agents                               | table | barberia
 public | agents_memory_entries                | table | barberia
 public | agents_memory_entry_candidates       | table | barberia
 public | agents_memory_entry_locks            | table | barberia
 public | agents_memory_entry_sources          | table | barberia
 public | agents_messages                      | table | barberia
 public | agents_observation_cursors           | table | barberia
 public | agents_observation_locks             | table | barberia
 public | agents_observations                  | table | barberia
 public | agents_resources                     | table | barberia
 public | agents_threads                       | table | barberia
 public | ai_builder_temporary_workflow        | table | barberia
 public | ai_preference                        | table | barberia
 public | annotation_tag_entity                | table | barberia
 public | auth_identity                        | table | barberia
 public | auth_provider_sync_history           | table | barberia
 public | barber_auditoria                     | table | barberia
 public | barber_bloqueos                      | table | barberia
 public | barber_citas                         | table | barberia
 public | barber_clientes                      | table | barberia
 public | barber_consentimiento                | table | barberia
 public | barber_escalaciones                  | table | barberia
 public | barber_lista_espera                  | table | barberia
 public | barber_operadores                    | table | barberia
 public | barber_pausas                        | table | barberia
 public | barber_servicios                     | table | barberia
 public | binary_data                          | table | barberia
 public | chat_hub_agent_tools                 | table | barberia
 public | chat_hub_agents                      | table | barberia
 public | chat_hub_messages                    | table | barberia
 public | chat_hub_session_tools               | table | barberia
 public | chat_hub_sessions                    | table | barberia
 public | chat_hub_tools                       | table | barberia
 public | credential_dependency                | table | barberia
 public | credentials_entity                   | table | barberia
 public | data_table                           | table | barberia
 public | data_table_column                    | table | barberia
 public | deployment_key                       | table | barberia
 public | dynamic_credential_entry             | table | barberia
 public | dynamic_credential_resolver          | table | barberia
 public | dynamic_credential_user_entry        | table | barberia
 public | evaluation_collection                | table | barberia
 public | evaluation_config                    | table | barberia
 public | event_destinations                   | table | barberia
 public | execution_annotation_tags            | table | barberia
 public | execution_annotations                | table | barberia
 public | execution_data                       | table | barberia
 public | execution_entity                     | table | barberia
 public | execution_metadata                   | table | barberia
 public | folder                               | table | barberia
 public | folder_tag                           | table | barberia
 public | insights_by_period                   | table | barberia
 public | insights_metadata                    | table | barberia
 public | insights_raw                         | table | barberia
 public | installed_nodes                      | table | barberia
 public | installed_packages                   | table | barberia
 public | instance_ai_checkpoints              | table | barberia
 public | instance_ai_events                   | table | barberia
 public | instance_ai_iteration_logs           | table | barberia
 public | instance_ai_mcp_registry_connections | table | barberia
 public | instance_ai_messages                 | table | barberia
 public | instance_ai_observation_cursors      | table | barberia
 public | instance_ai_observation_locks        | table | barberia
 public | instance_ai_observational_memory     | table | barberia
 public | instance_ai_observations             | table | barberia
